Calendar Year,Term Number
2001,1014
2002,1024
2003,1034
2004,1044
2005,1054
2006,1064
2007,1074
2008,1084
2009,1094
2010,1104
2011,1114
2012,1124
2013,1134
2014,1144
2015,1154
2016,1164
2017,1174
2018,1184
2019,1194
2020,1204
2021,1214
2022,1224
2023,1234
2024,1244
2025,1254
2026,1264
2027,1274
2028,1284
2029,1294
2030,1304
2031,1314
2032,1324
2033,1334
2034,1344
2035,1354
2036,1364
2037,1374
2038,1384
2039,1394
2040,1404
2041,1414
2042,1424
2043,1434
2044,1444
2045,1454
2046,1464
2047,1474
2048,1484
2049,1494
2050,1504
2002,1026
2003,1036
2004,1046
2005,1056
2006,1066
2007,1076
2008,1086
2009,1096
2010,1106
2011,1116
2012,1126
2013,1136
2014,1146
2015,1156
2016,1166
2017,1176
2018,1186
2019,1196
2020,1206
2021,1216
2022,1226
2023,1236
2024,1246
2025,1256
2026,1266
2027,1276
2028,1286
2029,1296
2030,1306
2031,1316
2032,1326
2033,1336
2034,1346
2035,1356
2036,1366
2037,1376
2038,1386
2039,1396
2040,1406
2041,1416
2042,1426
2043,1436
2044,1446
2045,1456
2046,1466
2047,1476
2048,1486
2049,1496
2050,1506
2001,1022
2002,1032
2003,1042
2004,1052
2005,1062
2006,1072
2007,1082
2008,1092
2009,1102
2010,1112
2011,1122
2012,1132
2013,1142
2014,1152
2015,1162
2016,1172
2017,1182
2018,1192
2019,1202
2020,1212
2021,1222
2022,1232
2023,1242
2024,1252
2025,1262
2026,1272
2027,1282
2028,1292
2029,1302
2030,1312
2031,1322
2032,1332
2033,1342
2034,1352
2035,1362
2036,1372
2037,1382
2038,1392
2039,1402
2040,1412
2041,1422
2042,1432
2043,1442
2044,1452
2045,1462
2046,1472
2047,1482
2048,1492
2049,1502
2050,1512
